               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068123,            0.029476,            0.037327,           0.0030529,                0.85,            0.038633,            0.018365,            0.037359,            0.015701,            0.018004,              0.0901,              0.0011,              0.0011
                   1,            0.053389,            0.029456,            0.035179,            0.025282,             0.86667,             0.16131,            0.057502,            0.021843,            0.012724,            0.016397,            0.079254,           0.0022545,           0.0022545
                   2,            0.043598,            0.029599,            0.032802,             0.27996,             0.58161,             0.46494,             0.37039,            0.012346,            0.012512,            0.013641,            0.068361,           0.0033614,           0.0033614
                   3,            0.036985,            0.024582,            0.030605,            0.073839,                 0.7,             0.11405,            0.098542,            0.023864,           0.0084014,             0.01398,            0.057421,           0.0044208,           0.0044208
                   4,            0.034367,            0.021847,            0.028994,              0.5631,              0.5457,             0.50402,              0.3733,            0.011947,           0.0071628,            0.012318,            0.046433,           0.0054327,           0.0054327
                   5,            0.034991,            0.019798,            0.027029,             0.52013,             0.64908,             0.56116,             0.44653,            0.023505,           0.0053443,            0.011572,            0.035397,           0.0063971,           0.0063971
                   6,            0.035897,            0.018059,            0.024214,             0.38496,             0.78933,             0.72344,             0.70584,            0.020073,           0.0060762,           0.0096909,            0.024314,            0.007314,            0.007314
                   7,            0.036422,            0.015852,            0.022824,             0.53343,             0.83043,              0.8641,             0.67332,            0.018966,           0.0052384,           0.0078072,            0.013183,           0.0081833,           0.0081833
                   8,            0.032752,             0.01511,            0.019342,             0.68502,             0.84596,             0.91692,             0.89085,            0.016388,           0.0064919,           0.0064934,            0.008416,            0.008416,            0.008416
                   9,             0.03329,            0.014186,            0.016749,             0.71133,             0.91165,             0.96883,             0.89478,            0.013864,           0.0055828,           0.0038292,            0.008416,            0.008416,            0.008416
                  10,            0.029279,             0.01387,            0.014302,             0.65513,             0.93903,             0.91336,             0.52574,            0.018781,           0.0060331,            0.003241,            0.008218,            0.008218,            0.008218
                  11,            0.033807,            0.013939,            0.015585,             0.64746,             0.99024,             0.92564,             0.87901,            0.016455,           0.0052562,           0.0025137,             0.00802,             0.00802,             0.00802
                  12,            0.029389,            0.013688,            0.011461,             0.82798,             0.95367,             0.96325,             0.79872,            0.011139,           0.0037391,           0.0025995,            0.007822,            0.007822,            0.007822
